,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
715,Hyundai,SUV,8,11740,18000,738,46991,37900,1591,1594,2,1,19598,19598,130,1,109800
716,BMW,Luxury Sedan,1,15950,66000,742,27691,91010,1598,1405,9,1,33146,23146,100,1,37800
717,Volkswagen,Sports Car,9,7490,142000,682,30897,33140,1390,1285,11,1,26423,26423,118,4,69800
718,Mazda,Mid-Sized Sedan,7,8790,21000,682,28549,23568,1496,1310,3,1,14329,14329,88,1,73588
719,BMW,Luxury Sedan,1,15290,68000,742,27414,64209,1598,1405,8,1,33404,28766,100,1,41988
720,BMW,Hatchback,4,12850,72000,684,44060,62101,1499,1360,6,1,26883,24637,100,3,67800
721,Toyota,Mid-Sized Sedan,7,8530,35000,682,36764,33199,1496,1085,2,1,13788,13788,79,1,74800
722,Honda,MPV,0,10110,170600,1467,4374,26004,1799,1350,14,1,19024,18582,103,4,8500
723,Volvo,Luxury Sedan,5,16790,66000,1176,63277,52807,1969,1716,5,1,37621,44670,187,2,117000
724,Subaru,MPV,7,8010,175000,1447,24707,31933,1994,1590,13,1,35867,35867,165,4,62000
725,Volkswagen,Sports Car,1,15340,110000,620,22865,68656,1390,1285,9,1,26183,26183,118,3,32000
726,Mercedes-Benz,Sports Car,6,8710,195502,1364,28113,40881,1796,1675,14,1,62252,62252,135,6,59888
727,BMW,Luxury Sedan,8,8250,155000,1976,30119,33568,2497,1650,11,1,45032,45032,150,4,74000
728,Volkswagen,Hatchback,0,31090,28000,620,14300,52392,1390,1241,10,1,22686,22686,90,2,28888
729,Audi,Luxury Sedan,2,17820,16639,1194,45323,87910,1984,1565,8,1,38181,40454,132,2,62900
730,Mercedes-Benz,Luxury Sedan,8,16450,25000,586,68186,37000,1332,1410,2,1,41333,49867,100,1,161800
731,BMW,Sports Car,8,14330,60000,4738,31098,35416,3999,1830,13,1,105658,105658,308,3,125800
732,Skoda,Mid-Sized Sedan,8,13750,14000,1194,51129,40000,1984,1577,3,1,26300,28820,180,1,129999
733,Subaru,SUV,7,11830,23000,710,22814,14000,1998,1682,3,1,16744,16744,177,1,95018
734,Audi,SUV,4,13960,60000,624,47701,50089,1395,1480,5,1,29869,33817,110,2,83888
735,BMW,SUV,6,18500,59000,1210,65156,53711,1997,1680,4,1,36108,42552,135,1,135800
736,Honda,Hatchback,8,8320,24000,578,27559,29159,1317,1030,2,1,15365,5365,73,1,69800
737,Nissan,SUV,6,11920,58300,1210,50126,50110,1997,1626,4,1,24596,26435,106,1,85300
738,Mercedes-Benz,Luxury Sedan,6,19790,75000,1202,89541,42661,1991,1615,4,1,60411,80740,155,2,174800
739,Mercedes-Benz,Luxury Sedan,9,14750,5500,684,59387,33000,1497,1505,1,1,33169,38437,95,1,155800
740,BMW,Luxury Sedan,9,19030,17000,1210,72875,32500,1998,1540,2,1,51807,65253,135,1,205000
741,Maserati,Luxury Sedan,6,32000,24000,2362,159576,50000,2979,1900,8,1,110700,171260,302,2,285000
742,Toyota,MPV,3,8510,138000,1169,12769,19968,1797,1340,12,1,21599,21599,106,4,27200
743,Toyota,MPV,3,13210,113000,1638,45034,69001,2362,1790,8,1,31278,35790,125,2,59800
744,Honda,Stationwagon,6,9810,41505,682,33860,38830,1496,1130,4,1,19813,9813,97,2,71888
745,Mazda,Mid-Sized Sedan,4,9800,96000,682,32031,56001,1496,1321,6,1,15032,10032,88,1,48800
746,BMW,Luxury Sedan,4,24050,96500,2362,101778,65501,2979,1845,7,1,75053,107096,235,3,152000
747,Porsche,Sports Car,5,64400,25000,3944,324348,50621,3996,1995,5,1,234198,393557,404,3,568000
748,Toyota,Mid-Sized Sedan,5,9900,57388,742,41088,49751,1598,1205,5,1,17982,17982,90,1,63888
749,Honda,Luxury Sedan,7,6880,145000,1573,25790,33018,1997,1505,13,1,33066,33066,115,2,53777
750,Toyota,MPV,7,6800,178000,1264,26752,37906,1794,1310,13,1,18803,18803,97,2,48000
751,BMW,Luxury Sedan,1,30070,126000,2362,39984,92700,2979,1520,9,1,52104,52104,225,2,62800
752,Mercedes-Benz,Luxury Sedan,3,16720,58000,1202,61436,78001,1991,1655,7,1,42793,46911,135,1,89800
753,Nissan,SUV,5,10100,58000,508,37522,53000,1197,1285,5,1,18689,13689,85,1,58800
754,Mazda,Hatchback,4,8600,90000,682,27083,47889,1496,1036,5,1,15064,5064,85,2,44800
755,Volvo,SUV,9,14990,1889,1176,72560,62100,1969,1695,1,1,28316,31643,140,1,165000
756,Maserati,Luxury Sedan,6,30540,30000,2362,153767,48005,2979,1900,4,1,106418,163553,257,2,279800
757,Honda,Sports Car,6,12990,212000,1694,31786,50355,1998,1390,14,0,23604,25965,162,3,82000
758,MINI,Sports Car,3,16410,73400,742,50260,80710,1598,1335,8,1,33001,38202,135,2,70800
759,Mazda,Mid-Sized Sedan,4,10090,83620,682,33783,56209,1496,1321,6,1,17996,12996,88,1,50800
760,Kia,Mid-Sized Sedan,8,8320,22100,738,35668,31759,1591,1287,2,1,12057,12057,93,1,75800
761,Nissan,SUV,4,10320,49667,508,34413,56001,1197,1285,6,1,18413,13413,85,1,52800
762,Mazda,Mid-Sized Sedan,4,10900,90646,682,28301,61000,1496,1321,6,1,14720,5000,88,1,46800
763,Audi,SUV,5,16260,30791,1194,63617,56340,1984,1845,5,1,36901,43662,132,2,111000
764,BMW,Luxury Sedan,1,20170,81262,1210,31920,86889,1997,1420,9,1,35829,35829,135,2,48800
765,BMW,Luxury Sedan,9,10180,122141,2362,46862,47316,2979,1700,10,1,66259,66259,225,3,100800
766,Mitsubishi,SUV,4,12220,24000,1636,41315,49602,2360,1530,5,1,22635,23689,123,1,72800
767,Honda,Hatchback,7,8010,22000,578,27325,29159,1317,1030,3,1,15937,5937,73,1,65800
