,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
0,Honda,SUV,4,10310,50000,682,31237,56001,1496,1190,6,1,19775,9775,96,2,49800
1,Suzuki,Hatchback,1,8210,203000,1030,6656,21349,1586,1060,14,0,12154,13370,92,2,12800
2,Porsche,Sports Car,6,34200,21000,1200,106829,50110,1988,1365,4,1,71979,101563,220,1,259988
3,Hyundai,Mid-Sized Sedan,3,11010,35000,738,31339,64900,1591,1292,7,1,13856,13856,97,1,44800
4,Kia,Mid-Sized Sedan,8,9450,21200,738,38416,30009,1591,1287,3,1,18894,18894,93,1,85800
5,BMW,Luxury Sedan,1,17610,170000,1210,33118,86889,1997,1420,9,1,38514,38514,135,2,45600
6,Mitsubishi,Mid-Sized Sedan,6,7470,251000,1694,30648,44998,1998,1427,14,1,17722,17722,114,2,50900
7,Mercedes-Benz,Luxury Sedan,4,18450,84000,1202,70842,50089,1991,1680,6,1,52959,67327,155,2,120999
8,Mercedes-Benz,Luxury Sedan,3,18550,98000,740,47541,68668,1595,1425,6,1,35392,31549,115,1,88800
9,Audi,Sports Car,9,11280,105000,2618,37909,40014,2995,1755,11,1,64519,64519,245,5,106888
10,Mazda,Mid-Sized Sedan,4,10100,108138,682,34406,57498,1496,1321,6,1,18235,13235,88,1,50800
11,Toyota,MPV,7,9310,29339,682,32480,25556,1496,1325,3,1,17699,17699,79,1,78800
12,Toyota,MPV,6,10720,49000,682,36490,44002,1496,1320,5,1,21145,11603,80,1,73500
13,Honda,MPV,7,6340,142000,1271,23790,31553,1799,1350,13,1,17982,17982,103,4,47800
14,Mazda,Mid-Sized Sedan,3,10690,102000,682,26681,65889,1496,1339,7,1,14208,5000,88,2,40500
15,BMW,Luxury Sedan,5,14440,65800,684,49546,55100,1499,1425,5,1,29816,28743,100,1,87800
16,Audi,Luxury Sedan,5,11500,90000,392,40968,50889,999,1280,5,1,24614,16460,85,2,72888
17,BMW,Luxury Sedan,8,19620,26339,1210,83562,40009,1998,1530,2,1,52437,66387,135,1,198800
18,BMW,SUV,9,28220,14000,2384,110552,37102,2998,1845,1,1,72244,102040,285,1,309800
19,BMW,Luxury Sedan,6,11260,133000,3307,34074,50578,2979,1535,14,0,66046,66046,225,1,75888
20,Mercedes-Benz,Hatchback,8,14490,22500,586,60868,39728,1332,1375,2,1,33259,38563,120,2,135800
21,Honda,Mid-Sized Sedan,5,12750,80000,684,48059,57010,1498,1324,5,1,26078,23510,127,1,79800
22,BMW,SUV,9,23840,5072,1210,91488,40790,1998,1750,1,1,59276,78697,185,1,262800
23,BMW,MPV,7,12660,49317,684,49819,29159,1499,1490,2,1,31249,35749,80,1,117800
24,Mitsubishi,Mid-Sized Sedan,4,8500,48752,506,28516,57498,1193,940,6,1,13062,5000,57,1,39500
25,BMW,SUV,9,22190,5366,1210,81505,38110,1998,1745,1,1,53451,68212,185,1,239800
26,Toyota,Mid-Sized Sedan,8,5830,101300,821,27421,31976,1497,1095,12,1,12717,12717,80,4,49988
27,Audi,Luxury Sedan,7,11460,66041,624,42780,32302,1395,1320,3,1,23548,24968,110,1,97800
28,Honda,Stationwagon,5,10140,63584,682,32162,52301,1496,1130,6,1,16869,6869,97,4,55800
29,Volkswagen,Mid-Sized Sedan,4,9170,65023,620,35451,55889,1390,1417,6,1,17505,17505,90,1,46800
30,BMW,SUV,7,16160,34503,1210,59155,32551,1998,1460,3,1,39816,47743,141,1,139800
31,Toyota,SUV,5,13090,83254,1196,50616,53300,1986,1580,5,1,28119,26367,111,2,88900
32,Nissan,SUV,4,10090,55000,1210,37164,47000,1997,1379,5,1,19906,19906,106,3,59800
33,Lexus,Luxury Sedan,6,15590,61000,1210,68175,53711,1998,1620,4,1,37274,44184,180,1,123800
34,Audi,Luxury Sedan,7,7280,176000,1552,24549,31933,1984,1550,13,1,44257,44257,125,6,56000
35,Mercedes-Benz,Luxury Sedan,6,15510,69000,740,61912,42661,1595,1425,4,1,37239,44135,115,2,126800
36,Nissan,SUV,5,10280,82687,508,37863,52301,1197,1285,5,1,18974,13974,85,2,60800
37,Audi,SUV,4,15790,87000,1194,54838,49602,1984,1845,5,1,36946,43725,132,1,98999
38,Toyota,SUV,9,12670,3708,1198,62371,39000,1987,1530,1,1,30048,34068,127,1,136666
39,BMW,Sports Car,9,46800,4500,4568,192054,40989,4395,1890,3,1,129518,205133,390,1,538800
40,Toyota,SUV,9,13640,13000,1210,59033,35889,1998,1695,2,1,30808,35132,170,1,141800
41,Lexus,SUV,7,13380,37000,1198,57358,31001,1987,1485,3,1,38007,45210,127,2,123800
42,Opel,Hatchback,5,9130,99309,392,30985,51506,999,1188,5,1,19378,5000,77,2,50800
43,Mercedes-Benz,Luxury Sedan,3,16950,70000,740,51387,78001,1595,1425,6,1,35392,31549,115,1,82888
44,Honda,SUV,7,9590,42254,682,39851,32699,1496,1190,3,1,21245,21743,96,1,79888
45,Honda,Mid-Sized Sedan,1,9310,155000,1271,7529,18953,1799,1219,13,1,21141,23256,103,3,18500
46,Hyundai,Mid-Sized Sedan,6,7420,22048,238,26674,28201,1591,1345,4,1,12933,12933,93,1,51111
47,Volkswagen,Hatchback,5,10660,61000,624,38432,52000,1395,1249,5,1,20409,10573,92,1,67800
48,Toyota,MPV,4,14230,57000,1196,46864,58801,1986,1620,6,1,26876,29627,112,2,78800
49,Jaguar,Luxury Sedan,6,14970,42000,1212,96652,52751,1999,1873,7,1,62826,85087,177,2,135800
50,Mercedes-Benz,Luxury Sedan,5,15430,46525,740,55762,46229,1595,1425,5,1,37206,39089,115,1,107800
51,Honda,Luxury Sedan,0,9330,139000,1694,5062,26246,1998,1370,14,1,21236,23360,114,2,9000
52,Honda,SUV,3,11360,121800,682,32433,68589,1496,1190,7,1,18556,8556,96,2,48800
53,Kia,Mid-Sized Sedan,8,8430,12000,738,33806,27000,1591,1287,2,1,14529,14529,93,1,78800
54,Volkswagen,Hatchback,4,12120,46000,624,33263,56209,1395,1249,7,1,22709,13793,90,1,57800
55,Mercedes-Benz,Hatchback,1,14400,112000,740,23702,63000,1595,1425,9,1,27947,22947,115,2,36800
56,Volkswagen,Hatchback,8,8590,170000,744,24169,29328,1390,1286,12,1,24161,24161,118,4,70800
57,Honda,MPV,2,12010,102000,978,27349,77000,1799,1370,8,1,18024,18024,103,1,34800
58,Mazda,Mid-Sized Sedan,5,9030,80000,682,34384,48000,1496,1310,5,1,14777,9777,88,2,55800
59,Honda,Stationwagon,8,8980,51000,682,37839,35010,1496,1130,2,1,19962,9962,95,1,82900
60,Hyundai,Hatchback,8,9770,31800,600,39880,31917,1353,1240,2,1,17951,17951,95,1,89800
61,Subaru,SUV,5,12810,71220,1210,45419,53001,1998,1682,4,1,18274,18274,177,1,85800
62,Honda,Hatchback,6,11950,65000,684,51009,37010,1498,1322,4,1,29833,33767,127,1,99800
63,Toyota,Mid-Sized Sedan,4,9740,50000,742,35810,47300,1598,1205,5,1,17982,17982,90,1,56800
64,Lexus,Luxury Sedan,4,16870,77700,1792,60098,57501,2494,1615,6,1,40884,49238,135,1,99800
65,Toyota,Mid-Sized Sedan,4,9740,52000,742,35810,47300,1598,1205,5,1,17982,17982,90,1,56800
66,Mazda,Hatchback,8,8430,5300,682,34280,38000,1496,1060,2,1,18204,8204,81,1,78800
67,Toyota,Mid-Sized Sedan,5,9860,51000,742,39506,53694,1598,1205,5,1,16800,16800,90,1,57800
68,Toyota,MPV,9,7520,136000,1802,38985,40714,2362,1750,10,1,37052,37052,125,2,72000
69,Toyota,Mid-Sized Sedan,5,9880,54000,742,39506,53694,1598,1205,5,1,16800,16800,90,1,57888
70,Hyundai,Mid-Sized Sedan,8,7980,42121,738,35750,31917,1591,1345,2,1,12631,12631,93,2,72000
71,Mercedes-Benz,Luxury Sedan,1,18570,82000,740,26402,73501,1595,1485,9,1,30136,30136,115,2,39900
72,Toyota,Mid-Sized Sedan,5,10150,59200,742,43635,49430,1598,1215,5,1,19990,19990,90,1,68800
73,Honda,Mid-Sized Sedan,6,8940,37700,684,38125,38000,1497,1078,3,1,15908,15908,88,1,69600
74,Mercedes-Benz,Luxury Sedan,1,17300,170000,974,40652,86889,1796,1615,9,1,50742,50742,135,1,53000
75,Kia,MPV,3,7360,163000,1452,12730,18751,1998,1597,12,1,17209,17209,108,5,25000
76,Mercedes-Benz,Luxury Sedan,1,33520,95000,3164,62924,86889,3498,1975,9,1,95928,95928,225,2,88000
77,Mitsubishi,Hatchback,6,8240,55000,506,30404,42801,1193,940,5,1,14804,5000,59,2,53800
78,Land Rover,SUV,5,26800,69000,2380,126523,55000,2995,2214,5,1,84912,124842,250,2,222800
79,Toyota,Luxury Sedan,7,6440,128088,2129,23902,31553,2362,1540,13,1,27261,27261,123,5,48800
80,Audi,Sports Car,9,9660,130000,1313,35954,38216,1984,1735,11,1,57024,57024,155,3,90888
81,Kia,Mid-Sized Sedan,6,8080,41000,738,35256,38510,1591,1295,4,1,11361,11361,95,1,61800
82,Audi,Luxury Sedan,3,15270,104000,1194,50154,74801,1984,1565,8,1,38197,40476,132,3,70888
83,Honda,Mid-Sized Sedan,7,11760,56000,684,47312,37000,1498,1324,3,1,26476,29067,127,1,98000
84,Toyota,Mid-Sized Sedan,4,8660,36489,242,26655,28002,1598,1205,6,1,19589,19589,90,2,49800
85,Mercedes-Benz,SUV,8,19910,24511,1202,74791,42020,1991,1735,2,1,45235,55329,155,1,196800
86,Subaru,SUV,4,13340,80000,1208,33750,47604,1995,1566,5,1,15515,15515,110,2,71888
87,Volkswagen,Hatchback,3,13890,115000,624,28555,62002,1395,1249,7,1,22719,8807,90,3,55555
88,Land Rover,SUV,5,16380,49809,1212,79068,54556,1999,1841,4,1,50339,62611,177,2,127998
89,Honda,SUV,1,10910,150149,1369,6704,25226,1799,1410,14,1,19569,21526,103,4,14500
90,Ferrari,Sports Car,1,229890,30000,4728,270803,95501,4497,1565,8,1,460829,460829,416,2,648000
91,Honda,Mid-Sized Sedan,1,7900,160000,1271,7594,19356,1799,1219,13,1,21092,21092,103,4,15500
92,Toyota,Mid-Sized Sedan,1,7370,197000,1039,7085,19328,1598,1195,13,1,16994,18694,80,6,13500
93,Honda,Stationwagon,8,8580,23000,682,29723,28589,1496,1130,2,1,18791,8791,97,1,73800
94,Jaguar,Luxury Sedan,5,17900,41100,1212,115932,57508,1999,1804,6,1,79478,115061,177,1,149800
95,Kia,Mid-Sized Sedan,8,8900,15000,738,43521,32999,1591,1287,2,1,19406,19406,93,1,87800
96,BMW,Luxury Sedan,3,18780,138483,1210,65003,73900,1997,1615,7,1,52258,61065,180,1,95888
97,Toyota,SUV,7,13960,45442,1210,51954,31301,1998,1695,3,1,33306,38629,170,1,121800
98,Mercedes-Benz,Hatchback,6,12900,59600,740,46010,51765,1595,1395,4,1,23295,19613,90,1,87800
99,Mercedes-Benz,Luxury Sedan,5,13840,80600,740,49664,50951,1595,1430,5,1,28839,27375,90,3,92800
100,Mercedes-Benz,Luxury Sedan,6,19340,69953,1202,86898,42322,1991,1615,3,1,58503,77306,155,1,170800
101,BMW,Sports Car,4,21530,98730,1210,82235,61001,1997,1700,7,1,59972,79950,180,3,132800
102,Audi,SUV,3,12610,152000,1433,13429,17708,1984,1740,12,1,39396,39396,155,3,47800
103,Volvo,Hatchback,5,10450,70000,684,40882,52301,1498,1450,5,1,22879,19031,90,1,62688
104,Hyundai,Mid-Sized Sedan,3,6400,156000,886,10412,15287,1591,1264,12,1,11400,11400,89,2,21800
105,BMW,SUV,5,13870,60200,684,55418,55000,1499,1430,4,1,30855,30197,100,1,97800
106,Audi,SUV,6,12180,58125,392,46178,36890,999,1315,4,1,26197,28676,85,1,95800
107,Mercedes-Benz,Hatchback,8,14210,21000,586,59363,42564,1332,1405,2,1,29676,33547,100,1,130988
108,Audi,SUV,4,14420,112000,1194,55836,61103,1984,1615,6,1,34828,40760,132,1,84800
109,Hyundai,Mid-Sized Sedan,4,9070,91164,738,34523,51301,1591,1292,6,1,15245,15245,97,2,49800
110,Toyota,Mid-Sized Sedan,2,7130,158289,889,6965,13786,1497,1110,13,1,13245,13245,80,3,18000
111,Kia,SUV,7,7420,29689,70,13617,8920,998,1185,3,1,18847,8847,88,1,62500
112,Mercedes-Benz,Luxury Sedan,5,15100,68000,740,50239,50789,1595,1430,5,1,28839,27375,90,1,101988
113,Suzuki,Hatchback,1,7910,156000,1030,7233,19328,1586,1220,13,1,13600,13600,75,4,14800
114,Nissan,Mid-Sized Sedan,6,8580,71801,742,38342,38000,1598,1205,3,1,16572,16572,85,1,66800
115,Mercedes-Benz,Stationwagon,8,13910,17500,740,48795,27000,1595,1430,2,1,31065,35491,90,1,131988
116,Mercedes-Benz,Stationwagon,7,14030,52000,740,54424,38000,1595,1430,3,1,32133,36987,90,1,116988
117,Toyota,SUV,5,13900,52000,1196,53331,54000,1986,1610,6,1,30008,29012,111,1,95800
118,Honda,Mid-Sized Sedan,7,11900,41738,684,46867,32551,1498,1324,3,1,27562,30587,127,1,102800
119,Honda,Mid-Sized Sedan,8,10080,35000,742,38735,29159,1597,1237,2,1,20084,20118,92,1,91800
120,BMW,Sports Car,4,15470,50000,684,41412,49501,1499,1360,5,1,26848,24588,100,2,88000
121,Nissan,Mid-Sized Sedan,7,8470,55805,742,37952,36426,1598,1205,3,1,16419,16419,85,1,67800
122,Mercedes-Benz,Luxury Sedan,8,8920,137600,1071,30046,33568,1796,1650,12,1,39845,39845,150,4,79800
123,Subaru,SUV,6,12570,69666,1210,42664,47501,1998,1682,4,1,16906,16906,177,2,87800
124,Toyota,Luxury Sedan,5,9250,191249,1815,24572,48479,1998,1530,15,1,28129,30942,108,3,46900
125,Hyundai,Mid-Sized Sedan,6,8590,49212,738,38084,45923,1591,1345,4,1,12698,12698,93,2,59800
126,Mercedes-Benz,SUV,7,13770,30445,740,45170,26659,1595,1435,2,1,28463,31849,90,1,125888
127,Mercedes-Benz,Luxury Sedan,5,15170,45500,740,52519,51765,1595,1430,4,1,30372,29521,90,1,103800
128,Hyundai,Mid-Sized Sedan,7,7970,48584,608,25762,25501,1368,1115,3,1,8517,8517,73,1,64800
129,Honda,SUV,5,10130,87069,682,40229,51506,1496,1185,5,1,21244,16742,96,2,62800
130,Hyundai,Mid-Sized Sedan,7,8510,29000,738,32513,33798,1591,1345,3,1,10867,10867,93,1,66800
131,Honda,MPV,5,12100,95305,1630,53704,57002,2356,1769,5,1,28006,31209,129,2,79900
132,Honda,Mid-Sized Sedan,7,7610,93850,1573,23683,32279,1998,1312,13,1,22248,22248,114,1,55800
133,Mercedes-Benz,Hatchback,4,13630,90000,740,38162,51301,1595,1395,6,1,23157,19420,90,2,75000
134,Subaru,SUV,4,11960,100000,1208,35911,57501,1995,1566,6,1,14528,14528,110,2,60800
135,Rolls-Royce,Luxury Sedan,1,198240,9900,8004,218757,91910,6592,2495,9,1,364652,364652,420,1,575000
136,Volvo,Luxury Sedan,9,12720,8000,1176,57377,34989,1969,1605,2,1,33814,39340,140,2,135888
137,Volkswagen,Hatchback,4,9810,74200,508,29835,55399,1197,1229,6,1,18038,8038,77,2,46888
138,Mazda,Luxury Sedan,3,11760,133000,1210,32004,75200,1998,1438,7,1,17073,7073,114,1,46500
139,Mercedes-Benz,Sports Car,7,8920,218000,3097,26763,37906,2997,1525,13,1,63086,63086,170,3,63000
140,Mercedes-Benz,Luxury Sedan,8,18510,34000,1202,82120,38000,1991,1615,3,1,54498,70097,135,1,194800
141,Mercedes-Benz,Luxury Sedan,7,15820,32000,740,69834,48000,1595,1490,3,1,35914,42280,115,1,146800
142,Toyota,Mid-Sized Sedan,4,10480,82877,742,38291,56001,1598,1205,6,1,19589,19589,90,2,55800
143,Mazda,Mid-Sized Sedan,3,7520,163000,890,9686,14743,1598,1275,12,1,20080,20080,77,5,24700
144,Opel,SUV,6,8250,20000,508,42678,38830,1199,1203,3,1,21304,21826,81,2,66800
145,Audi,SUV,4,15650,37000,624,50023,60000,1395,1480,6,1,29898,33858,110,2,85800
146,Honda,SUV,4,10320,62000,682,32453,56989,1496,1190,6,1,19068,9068,96,1,51800
147,Volkswagen,Hatchback,5,9860,66000,508,34841,52668,1197,1229,5,1,18188,8188,81,1,57800
148,Ford,Hatchback,4,8340,63000,742,32706,46009,1596,1408,6,1,14795,14795,92,3,47888
149,Ford,Hatchback,4,7190,26000,242,27081,37301,1596,1408,6,1,14350,14350,92,1,40000
150,Honda,Hatchback,4,9740,107545,684,32390,56001,1498,1046,6,1,15479,10479,96,2,48800
151,Hyundai,Mid-Sized Sedan,6,8750,78000,738,34122,38200,1591,1345,4,1,11796,11796,93,1,63800
152,BMW,SUV,4,14250,68850,684,44178,49700,1499,1430,5,1,29368,28116,100,1,85100
153,BMW,Sports Car,3,33830,40000,2362,117725,72100,2979,1635,7,1,92240,138032,317,3,200888
154,Toyota,Mid-Sized Sedan,5,10030,53217,742,39579,53694,1598,1205,5,1,16800,16800,90,1,58800
155,Nissan,Sports Car,9,25800,62000,4000,46760,47701,3799,1740,13,1,28509,28509,353,2,252888
156,Hyundai,Mid-Sized Sedan,4,9500,55128,738,34875,51000,1591,1292,6,1,15245,15245,97,2,52800
157,BMW,Luxury Sedan,6,13990,24000,684,55696,39000,1499,1425,4,1,33755,39257,100,1,113800
158,Mercedes-Benz,Luxury Sedan,3,16970,49150,1202,64695,77600,1991,1680,7,1,46713,52399,155,2,93200
159,Porsche,Sports Car,8,37680,16000,2380,157616,37109,2995,1815,2,1,108593,167468,243,1,408800
160,BMW,Luxury Sedan,5,7360,110000,1812,29677,52660,1995,1395,15,1,42106,46317,110,2,41500
161,BMW,SUV,9,9330,95000,1329,32542,34935,1995,1455,11,1,28183,28183,110,5,86888
162,BMW,Luxury Sedan,0,22080,105000,1210,29579,85216,1997,1610,9,1,42536,42536,135,3,42800
163,Mercedes-Benz,Luxury Sedan,6,18630,66500,1202,84804,57414,1991,1605,5,1,50945,63701,135,2,152000
164,Porsche,Sports Car,6,16990,120000,4189,32316,50451,3387,1395,14,1,59163,65080,217,4,108800
165,Nissan,Mid-Sized Sedan,2,7630,113000,821,8328,13943,1498,1175,12,1,19247,19247,80,4,22800
166,Toyota,MPV,8,8390,132000,1966,31579,37941,2362,1770,13,1,35805,35805,125,3,69800
167,Kia,Mid-Sized Sedan,6,9110,45000,738,39214,41400,1591,1295,4,1,15203,15203,95,2,68800
168,Honda,Mid-Sized Sedan,8,8460,18700,242,27389,14917,1597,1237,2,1,20072,20101,92,1,79888
169,Kia,Mid-Sized Sedan,7,9030,35000,738,32612,23568,1591,1287,3,1,18515,18515,93,1,81000
170,Peugeot,Stationwagon,7,10130,55348,508,35197,25000,1199,1190,3,1,21414,21980,96,1,86800
171,Mercedes-Benz,Luxury Sedan,7,15890,22000,740,56970,32909,1595,1490,3,1,35914,42280,115,1,145800
172,Nissan,SUV,5,10050,62288,1210,43520,53001,1997,1379,5,1,19653,19653,106,1,64400
173,Toyota,MPV,2,8850,112338,1264,9164,16509,1794,1310,12,1,18662,18662,97,2,24555
174,Audi,SUV,7,11920,30000,392,39363,28000,999,1315,3,1,23688,25164,85,2,99800
175,Jeep,SUV,6,11770,130000,5043,31565,50355,3778,2125,14,1,34111,37523,146,4,73800
176,Hyundai,Mid-Sized Sedan,7,6230,128264,959,19785,25727,1591,1264,12,1,10658,10658,89,1,47900
177,Honda,Mid-Sized Sedan,5,12310,68000,684,50746,56206,1498,1324,5,1,27624,25674,127,1,81800
178,Mercedes-Benz,Luxury Sedan,5,17220,80000,740,59830,57903,1595,1425,5,1,36548,38168,115,2,111888
179,Kia,Sports Car,4,8220,152000,812,13547,16438,1591,1232,11,1,15484,15484,92,4,33888
180,Mercedes-Benz,Luxury Sedan,7,30520,35000,2382,126349,31301,2996,1940,3,1,91812,137262,200,1,296800
181,Kia,Mid-Sized Sedan,6,8460,70000,738,34002,38200,1591,1295,4,1,11608,11608,95,1,61800
182,BMW,SUV,8,20420,6460,1210,74692,41805,1998,1660,2,1,43394,52752,135,1,198000
183,Honda,SUV,7,9790,24500,682,29372,25501,1496,1190,3,1,22459,13443,96,1,80800
184,Volkswagen,SUV,4,15180,11300,1194,53791,55001,1984,1689,6,1,34986,40981,155,1,89800
185,Honda,Stationwagon,9,8520,16000,682,36236,31210,1496,1130,2,1,20445,10623,95,1,82500
186,Toyota,Mid-Sized Sedan,6,6420,170000,965,26640,38192,1598,1195,13,1,16777,16777,80,2,44800
187,Audi,Luxury Sedan,7,16170,37791,1194,61451,36667,1984,1535,3,1,38186,45461,140,1,147800
188,Maserati,Sports Car,3,39500,16000,5030,166137,71921,4691,1880,7,1,134057,213303,338,2,260000
189,BMW,Luxury Sedan,9,9770,117342,2362,46862,47316,2979,1700,11,1,63320,63320,225,2,96800
190,Audi,Luxury Sedan,4,14150,87362,624,41194,46502,1395,1450,5,1,32076,26907,110,2,81500
191,Mercedes-Benz,Luxury Sedan,4,27480,122000,2382,116909,46502,2996,1940,5,1,89948,133907,200,1,203888
192,Mazda,Hatchback,9,7830,5000,682,48730,37766,1496,1067,2,1,18205,18205,85,1,81800
193,Mercedes-Benz,Luxury Sedan,1,17280,49400,974,49900,73900,1796,1650,9,1,52216,65989,150,2,64800
194,Audi,Luxury Sedan,6,16540,84000,1194,62504,49000,1984,1535,4,1,39560,42384,140,2,124888
195,Mercedes-Benz,Luxury Sedan,6,15270,65000,740,59595,37605,1595,1425,3,1,37480,44472,115,1,128800
196,Mitsubishi,Mid-Sized Sedan,5,8880,73000,738,40948,51600,1590,1284,5,1,13468,13468,86,2,59800
197,BMW,Luxury Sedan,6,26230,39900,2384,128459,38501,2998,1770,4,1,90911,135640,240,1,249900
198,Nissan,Hatchback,4,8640,120600,508,24552,43000,1198,1044,5,1,13026,5000,58,2,44800
199,Honda,Hatchback,9,8210,4432,578,38829,36534,1317,1030,2,1,16209,6209,73,1,79888
200,Mitsubishi,SUV,7,11280,61292,1210,41033,37989,1998,1480,3,1,19130,19130,110,1,88800
201,MINI,Sports Car,7,8280,174000,890,19965,25525,1598,1205,12,1,30413,30413,88,4,64777
202,Toyota,MPV,5,9930,57000,682,34135,50000,1496,1320,5,1,19112,9112,80,2,58800
203,Hyundai,Mid-Sized Sedan,7,5670,112000,886,20689,26175,1591,1264,12,0,9306,9306,89,1,44800
204,Toyota,Luxury Sedan,7,11040,40000,1792,49163,33900,2494,1475,3,1,29723,33613,133,1,94800
205,Mercedes-Benz,SUV,6,28380,72792,2382,116282,50001,2996,2180,4,1,77844,112120,270,2,238800
206,Mitsubishi,SUV,4,10130,86000,1210,36817,49602,1998,1355,5,1,17632,17632,110,1,58800
207,Mazda,Mid-Sized Sedan,5,9470,67000,682,38355,49751,1496,1321,5,1,19247,14247,88,1,59800
208,Mitsubishi,SUV,9,11340,23000,1210,54476,37102,1998,1480,1,1,24720,26608,110,1,118777
209,Mazda,SUV,7,12030,91000,1210,46866,32551,1998,1572,3,1,27823,30953,121,1,102888
210,Mercedes-Benz,Luxury Sedan,5,11080,102000,3573,29374,52660,2997,1850,15,1,81924,90117,170,3,61800
211,Mitsubishi,Mid-Sized Sedan,8,7510,19631,506,27173,29159,1193,940,2,1,13423,5000,59,1,62800
212,Mercedes-Benz,Luxury Sedan,9,7600,68500,742,35719,37303,1597,1500,10,1,31979,31979,115,2,72800
213,Mitsubishi,Mid-Sized Sedan,9,5880,5000,70,18236,15699,1193,945,1,1,14537,5000,59,1,56800
214,Mitsubishi,SUV,8,11350,20500,1210,51846,42564,1998,1480,3,1,22595,23633,110,1,102800
215,Toyota,MPV,7,18710,47500,1792,70475,39401,2493,1980,3,1,43482,52875,134,1,172800
216,Audi,Hatchback,4,12530,42000,620,45888,66590,1390,1125,11,1,32390,27346,90,2,64000
217,Honda,Hatchback,2,8790,150000,767,6964,12864,1339,1010,13,1,14665,14665,73,5,23800
218,Daihatsu,SUV,2,8210,163000,887,6915,13024,1495,1200,13,1,17477,17477,77,2,21800
219,Mitsubishi,Mid-Sized Sedan,2,7900,133000,889,8114,13943,1499,1313,12,1,19550,19550,80,5,23000
220,Honda,Mid-Sized Sedan,7,8480,110000,1271,23913,32279,1799,1219,13,1,23035,21556,103,6,62800
221,Audi,SUV,5,22710,37400,1194,90718,54406,1984,2050,5,1,58993,78188,185,1,173000
222,Nissan,Hatchback,6,6230,25000,70,23510,29791,1198,1048,4,1,13622,5000,58,1,43800
223,Volkswagen,MPV,4,13490,68000,1194,45680,47000,1984,1790,8,1,28478,31870,147,2,83000
224,Mercedes-Benz,Hatchback,5,12860,50000,740,38769,47020,1595,1395,5,1,23217,19504,90,2,75800
225,Hyundai,Mid-Sized Sedan,6,7420,35000,238,28374,30112,1591,1345,4,1,11960,11960,93,1,53800
226,Mazda,MPV,1,10880,93788,1212,22919,65001,1999,1527,8,1,20582,20815,106,3,31900
227,Volkswagen,Sports Car,2,10340,182609,744,7595,13088,1390,1285,12,1,23955,23955,118,4,30000
228,Honda,Hatchback,6,9070,25000,578,31401,41400,1318,1052,4,1,15224,5224,73,1,62800
229,Mazda,Mid-Sized Sedan,5,9500,65000,682,36443,55200,1496,1321,5,1,16287,11287,88,2,53800
230,Mazda,Mid-Sized Sedan,5,8870,102000,682,36251,53000,1496,1321,5,1,16723,11723,88,3,51800
231,Mitsubishi,Mid-Sized Sedan,1,11870,300000,1028,5118,25313,1584,1162,14,0,9975,10831,79,5,12000
232,Toyota,MPV,7,20260,73000,1792,71257,38700,2494,2055,3,1,48192,59469,134,2,172000
233,Hyundai,Mid-Sized Sedan,6,9830,60653,738,35391,40000,1591,1345,3,1,11491,11491,93,2,71550
234,Porsche,SUV,8,37840,2241,2380,142309,36000,2995,2030,1,1,97408,147335,250,1,408000
235,Honda,Hatchback,1,8100,200000,826,6121,20997,1339,1040,14,1,13710,15081,60,3,11800
236,Citroen,SUV,5,6390,38808,70,25573,33991,1199,1240,5,1,18879,8879,96,2,39999
237,Subaru,SUV,3,9850,66000,744,30812,62002,1600,1480,7,1,16391,11391,84,2,42900
238,Mercedes-Benz,Sports Car,3,33490,46000,6236,119566,65001,5461,1870,7,1,99605,151289,430,4,185000
239,Toyota,Mid-Sized Sedan,7,5920,142000,821,20689,26175,1497,1095,12,1,12717,12717,80,5,46800
240,Toyota,MPV,7,7120,454249,1573,24663,31933,1998,1540,13,1,23511,23511,110,3,55000
241,Audi,Sports Car,6,16070,28000,624,51600,42801,1395,1450,4,1,33591,34028,85,1,114939
243,Volkswagen,Hatchback,6,9410,34000,392,40756,40000,999,1257,4,1,18644,18644,81,2,72300
244,Subaru,Mid-Sized Sedan,7,9730,37000,1208,33129,31302,1995,1438,4,1,13173,13173,115,1,78888
245,Volkswagen,Sports Car,4,10700,105899,682,16319,18238,1390,1285,11,1,26402,26402,118,2,47888
246,Mercedes-Benz,Luxury Sedan,3,16250,129000,1202,59082,72890,1991,1655,7,1,45353,50495,135,2,83800
247,Kia,Mid-Sized Sedan,2,6480,155000,886,7595,13088,1591,1251,12,1,11851,11851,92,4,18800
248,BMW,SUV,5,15150,100000,684,51314,57508,1499,1430,5,1,29796,28715,100,1,92800
249,Honda,Mid-Sized Sedan,5,10750,76000,742,43740,50000,1597,1249,5,1,20640,20896,92,2,70800
250,Honda,Hatchback,4,8010,103000,590,21924,22069,1339,1060,12,1,18489,18489,73,2,39800
251,Mercedes-Benz,Luxury Sedan,7,8030,122000,1169,25826,33018,1796,1490,12,1,43067,43067,135,3,62800
252,Hyundai,Mid-Sized Sedan,8,8460,28963,738,35183,30009,1591,1345,2,1,14802,14802,93,1,75300
253,Nissan,Mid-Sized Sedan,4,9430,58000,742,34126,53644,1598,1205,6,1,16439,16439,85,2,48000
